model,roc_auc,roc_auc_std,average_precision,average_precision_std,recall,recall_std,precision,precision_std,f1,f1_std,accuracy,accuracy_std
Kukla (hep 'ayrılmaz'),0.5,0.0,0.2653532460941748,9.424729039040346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7346467539058252,9.424729039042568e-05
Lojistik Regresyon,0.8461530764047662,0.012554783532710357,0.661492458284151,0.019234647379802797,0.5431438127090301,0.04110312105882869,0.6534810143186045,0.02731636310578796,0.5925628053210671,0.030315136278580224,0.802273597677545,0.012235645679078049
Lojistik Regresyon (dengeli),0.8459519540598122,0.012436053844354793,0.6598679508690981,0.019579189406775048,0.8020066889632107,0.03598388670585356,0.5184825704433548,0.01781856797640663,0.6296174653510944,0.02179536855300274,0.7497351462015033,0.014371612903895426
Random Forest,0.8256677646531652,0.012557466284647975,0.6242431428119952,0.029418446132955797,0.48361204013377923,0.02163339348333944,0.6386221808300997,0.039507199878647974,0.5502044326089892,0.026961299484675707,0.7900280693017032,0.014303758102500123
Random Forest (dengeli),0.8450973547963603,0.010460959008072684,0.6576462227915456,0.020645126331731066,0.725752508361204,0.03228767461176501,0.5627543175271335,0.01846252247064523,0.6337990427373577,0.022279033993633315,0.7776030297824589,0.012383959015634466
